Seq,DateListed,年度,類別,項目別,總計,農林漁牧業,工業_礦業及土石採取業,工業_製造業,工業_電力及燃氣供應業,工業_用水供應及污染整治業,工業_營建工程業,服務業_批發及零售業,服務業_運輸及倉儲業,服務業_住宿及餐飲業,服務業_出版影音製作傳播及通資訊服務業,服務業_金融及保險業,服務業_不動產業,服務業_專業_科學及技術服務業,服務業_支援服務業,服務業_公共行政及國防_強制性社會安全,服務業_教育業,服務業_醫療保健及社會工作服務業,服務業_藝術_娛樂及休閒服務業,服務業_其他服務業,樣本數_人,母體數_人
117,20230401,108,教育程度,大學及以上,100,1.29200845087289,0.15268024394625,11.5801763734807,0.416556183763718,0.612431678798402,3.34399671545021,11.9809085543704,4.02015208149789,10.6294531737818,2.50233083285576,2.67083507967599,0.192881764761229,3.24349291341277,2.44160087587994,8.52828219756909,14.6684229884271,12.5882081241286,3.91023941288673,5.22534235444056,6359.07282396727,58455.5
118,20230401,108,婚姻狀況,未婚,100,5.15492883777113,0.279397090488945,14.0554592720971,0.377343626910351,0.837928680216375,12.01144897852,13.1650123417888,5.54750275720813,14.1478913922588,1.58473819652329,1.50596082138543,0.190378656583163,1.94501339215377,2.96701853894228,3.82096528543669,5.23186807415577,7.70048841972586,2.95809043642666,6.51856520140749,10364.1211785571,95205
119,20230401,108,婚姻狀況,有配偶,100,11.1408517063435,0.473376293344908,16.4744966667038,0.410494411117665,1.45629987423624,15.4372238483712,7.62261967034312,6.80552618594488,8.14218354089919,0.531806360901196,0.9434137256866,0.218138918876807,0.95547072375377,3.09067233531068,5.33902423642104,4.84969560717187,8.4161556354409,1.73008647649998,5.96246378263273,14671.2641052692,134776.5
120,20230401,108,婚姻狀況,離婚或分居,100,9.87323031368557,0.385167021375035,14.548440825391,0.477699639122791,1.12658462107893,19.377486814102,10.1242250393264,5.96372721384288,10.6979272693625,0.718284445266957,0.724067733876191,0.301887665402054,0.932266123808643,4.25187378550939,2.50879059868604,1.77546960303507,5.2176829832516,2.26936245026372,8.7258258536134,2350.99905936691,21614
121,20230401,108,婚姻狀況,喪偶,100,21.0420200339233,0.454443626588152,13.4604922072519,0,1.66736006656639,11.7131244599482,8.80084488110859,2.65625500048005,11.2010753032291,0.112010753032291,0,0.201619355458124,0,5.34451307325503,2.34262489198963,2.79706851857778,8.67283259192883,3.12349985598617,6.41021538067654,849.803771390404,7811.75
122,20230401,108,個人每月收入,未滿1萬元,100,26.5953809331385,0,6.08622672593329,0.139877529451991,1.85570855739641,5.11951757794287,12.6418202729166,1.71272263840104,21.0158217027758,0.124335581735103,0.121227192191725,0.195828541232787,0.6931708681732,2.85039321127724,0.282863448447359,7.21457213017935,3.51558857356004,1.79664915607224,8.03829535917441,873.688742621998,8042.75
123,20230401,108,個人每月收入,1萬元 ~ 未滿2萬元,100,31.4447749267513,0.0410636597709314,5.62239190269022,0.156485838586522,0.471677173044482,9.49236437893989,10.9384711000622,1.79237325756903,18.626254106366,0.0776880049720323,0.104323892391015,0.0610405753351682,0.407307111781941,3.11750865666341,0.197549498357454,3.88440024860162,2.97545059042884,2.1597265382225,8.42914853946551,2455.70543576415,22526
124,20230401,108,個人每月收入,2萬元 ~ 未滿3萬元,100,10.0730957328464,0.178410259639401,17.6573683437231,0.123837709632055,0.958430409504019,9.03884096299561,13.7005961001616,3.45564930839788,14.7222572046261,0.629945637344416,0.956856201330731,0.209894423105178,0.841676636651764,4.15538484142476,3.23709674033961,3.52543920408035,7.0763281069622,2.35606489935562,7.10282727787923,10374.1187425828,95286
125,20230401,108,個人每月收入,3萬元 ~ 未滿4萬元,100,4.24370709013528,0.529013592620873,17.4078333961577,0.450724735734836,1.49586486634513,19.7822732120017,8.29281965533572,6.86074570941625,6.90101775513952,1.31157998511545,1.46815769888752,0.257741092628927,1.56158884496551,3.39541671902033,3.53266385084523,4.24209620830635,10.1585429896034,2.10703343224148,6.00117916549878,8442.64490412077,77597.25
126,20230401,108,個人每月收入,4萬元 ~ 未滿5萬元,100,2.3729231148273,0.833063857963382,15.0890808580096,0.823824702422199,1.52600052355215,23.5760151522151,5.40644585084923,11.7160191558492,4.61726798170647,1.24189649066075,1.14796507599205,0.119339092406954,2.10267781524769,1.34198734235691,5.85146517608291,5.00762230332148,9.55405675921221,2.15965260775165,5.51269613957284,3532.89321134738,32470.5
127,20230401,108,個人每月收入,5萬元 ~ 未滿6萬元,100,3.35853530543624,0.93681366737284,13.4244232376436,1.42076927562147,1.86779654428485,15.0784241316981,4.29534897280908,13.1562068764456,4.05239937027463,1.72202678276418,1.4499232279256,0.141882567880119,1.55487745622048,1.66760607179647,11.7179452294416,8.59264154243844,8.72480612621718,2.28178266700356,4.55579094672601,1400.69798474243,12862.75
128,20230401,108,個人每月收入,6萬元 ~ 未滿7萬元,100,3.69735846049643,0.50599625483087,11.5422925216144,0.502012032351887,0.131479341806446,13.2276186302243,3.60173712100084,14.2794533646759,2.44232837961672,1.62954699390414,1.33471453045938,0.657396709032232,2.79293995776724,1.1394876289892,22.10048209092,12.9925495039643,3.78102713255508,1.07574006932547,2.5658392764652,683.528056608986,6274.75
129,20230401,108,個人每月收入,7萬元及以上,100,3.51371556731267,0.235781241014434,7.8612916211398,0.454310196100983,1.39743516015872,9.35073897291391,4.10604405083674,9.19546839956294,4.31307148197136,0.391051814365403,3.09390994306746,0.655586865259647,2.8006210822934,1.8229915463799,20.0529070101788,10.7366726091207,10.1040887917649,7.11369256426477,2.8006210822934,472.911036795234,4347.25
130,20230401,109,總計,-,100,8.3583030468747,0.411478093111397,15.0498065084555,0.488475955020337,1.1515500210771,14.7921342554088,9.54849441172114,6.25382141053247,10.5265856242808,1.08755919626005,1.116041759235,0.252735275464361,1.20158439003642,3.56981455952666,5.03410312206867,5.19540937038345,8.43112346621398,2.16685844925736,5.36412108507172,28154.6141611707,263319
131,20230401,109,性別,男,100,9.8775606094255,0.721311355055879,15.1073432432581,0.826296112076734,1.65277576393847,24.422170871869,5.77269331786705,10.3604537837644,7.13877993763318,1.15593356593942,0.651199157185307,0.24172189684697,1.27376610791038,3.66345410862986,5.66165174794114,3.00950185466953,1.962774460806,2.34215119640409,4.15846090877889,14563.8588107451,136210.25
